"NAME","COLLAPSED_COUNT"
"Taryn",22767
"Tori",33912
"Alyson",26122
"Eunice",66393
"Jazmine",36301
"Katelynn",29227
"Kaylyn",9597
"Mikayla",54825
"Cassidy",59398
"Darian",18515
"Jasmin",42767
"Kiera",19250
"Alayna",31692
"Kasandra",6471
"Mikaela",18107
"Dallas",74317
"Kennedy",91099
"Delaney",41469
"Emilee",21424
"Kaitlynn",14750
"Logan",401044
"Sage",36754
"Shyla",4926
"Shania",13859
"Elaina",26693
"Hailee",14414
"Mckenna",41656
"Cierra",25912
"Cydney",2466
"Kiara",53197
"Lily",169551
"Peyton",132839
"Jada",64670
"Ashlyn",46135
"Mia",284998
"Adriana",92139
"Hope",90510
"Isabella",389578
"Cheyanne",13320
"Adrianna",45188
"Justice",34416
"Katlyn",17023
"Kaylynn",9715
"Makenzie",42906
"Riley",228518
"Rylee",67483
"Isabelle",94848
"Selena",53124
"Alanna",21281
"Ava",322160
"Camryn",31596
"Carina",13260
"Hunter",265151
"Josie",58939
"Kailey",25462
"Kendall",92180
"Madelyn",104476
"Makenna",31614
"Tyra",11140
"Zoey",107413
"Trinity",82700
"Payton",79690
"Halle",14193
"Mya",59178
"Juliana",60435
"Kali",28461
"Skylar",98369
"Aaliyah",103904
"Avery",216823
"Julianne",25402
"Kianna",6176
"Malia",27284
"Nadia",42608
"Alexia",43074
"Eden",51787
"Jewel",36012
"Skye",21245
"Skyler",65063
"Julianna",46598
"Gillian",12725
"Sofia",167635
"Adeline",63735
"Babygirl",1127
"Lilly",56437
"Nevaeh",94185
"Jadyn",12749
"Kaylie",20101
"Kyleigh",18093
"Leilani",45805
"Piper",56483
"Serenity",71486
"Brooklyn",119890
"Annika",16733
"Liberty",12270
"Anya",16288
"Gracie",75003
"Mckayla",11514
"Meadow",8810
"Reagan",66516
"Tatum",31835
"Ashlynn",23943
"Fiona",30092
"Jaden",91058
"Amara",22133
"Addison",150139
"Aiyana",7663
"Alexandrea",6396
"Aliyah",45597
"Amaya",39055
"Anika",13504
"Cadence",21466
"Cameron",328481
"Carlie",12164
"Kaya",7968
"Makena",4768
"Phoebe",31859
"Samara",18123
"Ellie",88472
"Paris",34978
"Janessa",11681
"Allie",43116
"Emilia",55660
"Gianna",96863
"Layla",116586
"Aleah",13961
"Harmony",31528
"Hayden",136783
"Isis",9431
"Kaila",12288
"Kaydence",16743
"Kiley",16844
"Rylie",21002
"Sienna",33530
"Keira",30933
"Aspen",21885
"Diamond",32168
"Jaylynn",7500
"Rowan",57610
"Danika",7657
"Kamryn",26361
"Maddison",21346
"Madeleine",38944
"Nadine",48039
"Rayna",9169
"Scarlett",97045
"Selah",11218
"Lila",64232
"Kadence",10874
"Madisyn",15811
"Jayden",264243
"Kaelyn",13496
"Leila",43207
"Reese",54644
"Sarina",6282
"Bella",75458
"Delilah",52905
"Miley",13056
"Alivia",32084
"Brooklynn",35687
"Marley",32411
"Izabella",29054
"Laila",39482
"Alora",6784
"Annabelle",60362
"Aryanna",7691
"Bristol",9300
"Isla",45206
"Khloe",46542
"Lyla",39572
"Macy",29186
"Felicity",14877
"Haven",19716
"Kaia",15840
"Kenzie",18921
"Lauryn",19833
"Lilah",18885
"Liliana",67325
"London",48715
"Madilyn",21048
"Penelope",93391
"Winter",11585
"Teagan",29987
"Harper",127875
"Mckinley",15367
"Ember",16425
"Aniya",16610
"Aria",81948
"Eliana",60097
"Kailyn",12298
"Madalyn",19041
"Marin",3744
"Kinley",18074
"Evangeline",26752
"Ivy",66529
"Lexi",25667
"Annabella",13057
"Lilliana",19912
"Miriam",106899
"Thea",13333
"Audrina",7377
"Emery",48447
